timestamp,cpu,memory,duration
1,1,2048,16
2,2,3072,17
3,2,4096,18
4,4,6144,19
5,8,1024,20
6,1,2048,21
7,1,3072,22
8,2,4096,23
9,2,6144,24
10,4,1024,25
11,8,2048,26
12,1,3072,27
13,1,4096,28
14,2,6144,29
15,2,1024,30
16,4,2048,31
17,8,3072,32
18,1,4096,33
19,1,6144,34
20,2,1024,35
21,2,2048,36
22,4,3072,37
23,8,4096,38
24,1,6144,39
25,1,1024,40
26,2,2048,41
27,2,3072,42
28,4,4096,43
29,8,6144,44
30,1,1024,45
31,1,2048,46
32,2,3072,47
33,2,4096,48
34,4,6144,49
35,8,1024,50
36,1,2048,51
37,1,3072,52
38,2,4096,53
39,2,6144,54
40,4,1024,15
41,8,2048,16
42,1,3072,17
43,1,4096,18
44,2,6144,19
45,2,1024,20
46,4,2048,21
47,8,3072,22
48,1,4096,23
49,1,6144,24
50,2,1024,25
51,2,2048,26
52,4,3072,27
53,8,4096,28
54,1,6144,29
55,1,1024,30
56,2,2048,31
57,2,3072,32
58,4,4096,33
59,8,6144,34
60,1,1024,35
61,1,2048,36
62,2,3072,37
63,2,4096,38
64,4,6144,39
65,8,1024,40
66,1,2048,41
67,1,3072,42
68,2,4096,43
69,2,6144,44
70,4,1024,45
71,8,2048,46
72,1,3072,47
73,1,4096,48
74,2,6144,49
75,2,1024,50
76,4,2048,51
77,8,3072,52
78,1,4096,53
79,1,6144,54
80,2,1024,15
81,2,2048,16
82,4,3072,17
83,8,4096,18
84,1,6144,19
85,1,1024,20
86,2,2048,21
87,2,3072,22
88,4,4096,23
89,8,6144,24
90,1,1024,25
91,1,2048,26
92,2,3072,27
93,2,4096,28
94,4,6144,29
95,8,1024,30
96,1,2048,31
97,1,3072,32
98,2,4096,33
99,2,6144,34
100,4,1024,35
101,8,2048,36
102,1,3072,37
103,1,4096,38
104,2,6144,39
105,2,1024,40
106,4,2048,41
107,8,3072,42
108,1,4096,43
109,1,6144,44
