Job_ID,Submit_Time,Start_Time,End_Time,Requested_CPUs,Used_CPUs,Requested_Memory(MB),Used_Memory(MB),Execution_Time(Seconds),Queue_Wait_Time(Seconds),User_ID,Job_Type,Priority_Level,Node_Count,Interarrival_Time
JOB_00001,2024-02-28 04:50:00,2024-02-28 04:57:34,2024-02-28 05:24:07,2,1,27709,25052,1593.205496747528,454,User_79,batch,high,2,20
JOB_00002,2024-01-11 03:12:00,2024-01-11 03:21:15,2024-01-11 03:28:29,2,1,9991,9144,434.7448861768978,555,User_6,GPU,medium,1,10
JOB_00003,2024-01-03 06:38:00,2024-01-03 06:46:10,2024-01-03 06:50:28,1,1,7792,7115,258.8584811684832,490,User_73,interactive,medium,1,29
JOB_00004,2024-03-08 11:56:00,2024-03-08 12:00:26,2024-03-08 12:14:15,2,1,18860,16838,829.6406368024976,266,User_83,interactive,low,2,3
JOB_00005,2024-01-26 00:48:00,2024-01-26 00:49:34,2024-01-26 01:08:23,2,1,19089,18499,1129.7758288161954,94,User_87,batch,medium,1,9
JOB_00006,2024-01-23 06:58:00,2024-01-23 07:05:52,2024-01-23 07:23:44,16,14,15063,14199,1072.5367407635267,472,User_83,batch,medium,1,11
JOB_00007,2024-01-21 07:36:00,2024-01-21 07:43:03,2024-01-21 07:49:53,2,1,3327,2859,410.8143736924905,423,User_52,batch,low,2,4
JOB_00008,2024-01-13 16:49:00,2024-01-13 16:55:09,2024-01-13 17:16:46,2,1,16187,15795,1297.1173333455129,369,User_97,MPI,low,1,21
JOB_00009,2024-03-08 00:50:00,2024-03-08 00:55:38,2024-03-08 01:01:56,4,3,8181,7183,378.99440231591814,338,User_43,interactive,medium,1,39
JOB_00010,2024-01-10 07:54:00,2024-01-10 07:57:31,2024-01-10 08:10:58,1,1,19259,19198,807.2181720562324,211,User_56,interactive,medium,1,6
JOB_00011,2024-03-02 14:16:00,2024-03-02 14:20:46,2024-03-02 14:41:08,2,1,19305,17499,1222.0431871880967,286,User_14,batch,low,2,4
JOB_00012,2024-03-08 10:00:00,2024-03-08 10:05:02,2024-03-08 10:19:27,4,3,17153,16166,865.2757385448118,302,User_2,GPU,low,2,6
JOB_00013,2024-02-19 15:22:00,2024-02-19 15:23:09,2024-02-19 15:57:55,8,7,23233,20019,2086.6961257133994,69,User_13,MPI,low,4,19
JOB_00014,2024-01-08 21:55:00,2024-01-08 22:02:31,2024-01-08 22:30:08,4,3,29018,26165,1657.8981895378458,451,User_34,batch,medium,1,10
JOB_00015,2024-02-23 17:57:00,2024-02-23 17:58:47,2024-02-23 18:26:19,4,3,29197,28331,1652.4067083311443,107,User_29,batch,high,1,0
JOB_00016,2024-02-08 09:42:00,2024-02-08 09:46:23,2024-02-08 09:56:57,1,1,10543,9716,634.237568673604,263,User_66,batch,medium,1,7
JOB_00017,2024-01-03 21:25:00,2024-01-03 21:28:36,2024-01-03 21:54:47,16,15,26214,25838,1571.5182953656813,216,User_96,batch,low,2,0
JOB_00018,2024-01-03 17:05:00,2024-01-03 17:06:25,2024-01-03 17:13:34,1,1,1268,1187,429.9425849323309,85,User_67,interactive,medium,8,15
JOB_00019,2024-01-09 12:40:00,2024-01-09 12:48:00,2024-01-09 12:59:37,8,7,9972,9865,697.7273794497198,480,User_72,batch,medium,1,3
JOB_00020,2024-01-20 21:37:00,2024-01-20 21:42:23,2024-01-20 21:53:44,2,1,10039,10012,681.2848982297114,323,User_75,batch,low,1,6
JOB_00021,2024-01-22 04:15:00,2024-01-22 04:24:48,2024-01-22 04:35:33,16,14,12043,11056,645.9829798818586,588,User_89,interactive,medium,1,16
JOB_00022,2024-02-15 23:57:00,2024-02-16 00:05:49,2024-02-16 00:26:32,4,3,21215,19831,1243.4035743832285,529,User_74,batch,low,2,0
JOB_00023,2024-02-24 19:07:00,2024-02-24 19:12:13,2024-02-24 19:20:24,8,7,3803,3708,491.043201309972,313,User_29,batch,medium,2,1
JOB_00024,2024-01-03 09:58:00,2024-01-03 10:01:26,2024-01-03 10:20:25,2,1,19254,17005,1139.7106179014252,206,User_58,batch,medium,2,5
JOB_00025,2024-02-21 02:03:00,2024-02-21 02:09:25,2024-02-21 02:29:07,2,1,14747,14440,1182.5808908775637,385,User_48,batch,medium,8,2
JOB_00026,2024-01-19 02:22:00,2024-01-19 02:28:37,2024-01-19 02:44:18,4,3,24429,22933,941.8410762621904,397,User_51,interactive,low,2,4
